FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
HullAndEngineAccessoryDamage,20240831,브로스호,0,0,0,모터보트 브로스호 기관손상사건,36.3042,126.2883,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2883 36.3042
HullAndEngineAccessoryDamage,20240831,씨호스호,0,0,0,모터보트 씨호스호 기관손상사건,35.8439,126.4014,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4014 35.8439
HullAndEngineAccessoryDamage,20240831,그린아이비호,0,0,0,세일링요트 그린아이비호 기관손상사건,36.7928,126.1328,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.1328 36.7928
HullAndEngineAccessoryDamage,20240901,가온호,0,0,0,모터보트 가온호 기관손상사건,36.3228,126.4006,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4006 36.3228
CollisionAndContact,20240901,한일5002호,0,0,0,예인선 한일5002호 부유물감김사건,35.5492,126.2881,collisionAndContactType,floating object entanglement,126.2881 35.5492
CollisionAndContact,20240901,77희망호,0,0,0,어선 77희망호 부유물감김사건,31.45,127.0667,collisionAndContactType,floating object entanglement,127.0667 31.45
OtherIncident,20240905,102대한호,0,0,1,예선 성덕7호의 피예인부선 102대한호 선원부상사건,35.785,126.4692,otherIncidentType,safety hinderance and near misses,126.4692 35.785
OtherIncident,20240905,성덕7호,0,0,0,예선 성덕7호의 피예인부선 102대한호 선원부상사건,35.785,126.4692,otherIncidentType,safety hinderance and near misses,126.4692 35.785
CollisionAndContact,20240903,현대오선킹,0,0,0,예인선 한국2호의 피예인부선 현대오션킹호·정박 어선 동신호 충돌사건,37.4917,126.6217,collisionAndContactType,collision,126.6217 37.4917
CollisionAndContact,20240903,동신호,0,0,0,예인선 한국2호의 피예인부선 현대오션킹호·정박 어선 동신호 충돌사건,37.4917,126.6217,collisionAndContactType,collision,126.6217 37.4917
HullAndEngineAccessoryDamage,20240911,스피드호,0,0,0,어선 스피드호 기관손상사건,37.3167,126.5833,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.5833 37.3167
OtherIncident,20240811,만진 피싱호,0,0,1,모터보트 만진 피싱호 운항자부상사건,37.4575,126.3603,otherIncidentType,safety hinderance and near misses,126.3603 37.4575
OtherIncident,20240811,코털호,0,0,0,모터보트 만진 피싱호 운항자부상사건,37.4575,126.3603,otherIncidentType,safety hinderance and near misses,126.3603 37.4575
